Dates,Resting Heart Rate,Average,Standard Deviation,UCL,LCL
25-Jun,52,58.84615385,6.800762977,72.4476798,45.24462789
26-Jun,51,58.84615385,6.800762977,72.4476798,45.24462789
27-Jun,52,58.84615385,6.800762977,72.4476798,45.24462789
28-Jun,51,58.84615385,6.800762977,72.4476798,45.24462789
29-Jun,52,58.84615385,6.800762977,72.4476798,45.24462789
30-Jun,53,58.84615385,6.800762977,72.4476798,45.24462789
1-Jul,53,58.84615385,6.800762977,72.4476798,45.24462789
2-Jul,55,58.84615385,6.800762977,72.4476798,45.24462789
3-Jul,53,58.84615385,6.800762977,72.4476798,45.24462789
4-Jul,57,58.84615385,6.800762977,72.4476798,45.24462789
5-Jul,49,58.84615385,6.800762977,72.4476798,45.24462789
6-Jul,50,58.84615385,6.800762977,72.4476798,45.24462789
7-Jul,53,58.84615385,6.800762977,72.4476798,45.24462789
8-Jul,52,58.84615385,6.800762977,72.4476798,45.24462789
9-Jul,51,58.84615385,6.800762977,72.4476798,45.24462789
10-Jul,51,58.84615385,6.800762977,72.4476798,45.24462789
11-Jul,52,58.84615385,6.800762977,72.4476798,45.24462789
12-Jul,51,58.84615385,6.800762977,72.4476798,45.24462789
13-Jul,53,58.84615385,6.800762977,72.4476798,45.24462789
14-Jul,56,58.84615385,6.800762977,72.4476798,45.24462789
15-Jul,51,58.84615385,6.800762977,72.4476798,45.24462789
16-Jul,55,58.84615385,6.800762977,72.4476798,45.24462789
17-Jul,58,58.84615385,6.800762977,72.4476798,45.24462789
18-Jul,57,58.84615385,6.800762977,72.4476798,45.24462789
19-Jul,55,58.84615385,6.800762977,72.4476798,45.24462789
20-Jul,56,58.84615385,6.800762977,72.4476798,45.24462789
21-Jul,64,58.84615385,6.800762977,72.4476798,45.24462789
22-Jul,63,58.84615385,6.800762977,72.4476798,45.24462789
23-Jul,74,58.84615385,6.800762977,72.4476798,45.24462789
24-Jul,68,58.84615385,6.800762977,72.4476798,45.24462789
25-Jul,64,58.84615385,6.800762977,72.4476798,45.24462789
26-Jul,65,58.84615385,6.800762977,72.4476798,45.24462789
27-Jul,63,58.84615385,6.800762977,72.4476798,45.24462789
28-Jul,68,58.84615385,6.800762977,72.4476798,45.24462789
29-Jul,70,58.84615385,6.800762977,72.4476798,45.24462789
30-Jul,70,58.84615385,6.800762977,72.4476798,45.24462789
31-Jul,71,58.84615385,6.800762977,72.4476798,45.24462789
1-Aug,71,58.84615385,6.800762977,72.4476798,45.24462789
2-Aug,67,58.84615385,6.800762977,72.4476798,45.24462789
3-Aug,63,58.84615385,6.800762977,72.4476798,45.24462789
4-Aug,68,58.84615385,6.800762977,72.4476798,45.24462789
5-Aug,63,58.84615385,6.800762977,72.4476798,45.24462789
6-Aug,61,58.84615385,6.800762977,72.4476798,45.24462789
7-Aug,66,58.84615385,6.800762977,72.4476798,45.24462789
8-Aug,61,58.84615385,6.800762977,72.4476798,45.24462789
9-Aug,62,58.84615385,6.800762977,72.4476798,45.24462789
10-Aug,61,58.84615385,6.800762977,72.4476798,45.24462789
11-Aug,61,58.84615385,6.800762977,72.4476798,45.24462789
12-Aug,57,58.84615385,6.800762977,72.4476798,45.24462789
13-Aug,60,58.84615385,6.800762977,72.4476798,45.24462789
14-Aug,61,58.84615385,6.800762977,72.4476798,45.24462789
15-Aug,59,58.84615385,6.800762977,72.4476798,45.24462789
